Name,Five Star Rating,Review Text,Date
King Falafel,5,Excellent falafel wrap 10/10,2023-09-03T13:27:41.049958Z
Kirkeveien Thai Take Away,5,Excellent food! Delicious and nice size portions!,2023-09-02T14:19:17.709628Z
Osom Coffee Cantine (café de especialidad),5,,2023-08-29T16:48:50.108155Z
Osom Coffee House,5,,2023-08-29T16:48:33.510779Z
Kausa Madrid 1,5,"Excelente menú del mediodía, varias opciones y todo muy rico. Súper recomendable!",2023-08-29T16:00:29.485895Z
Osom Coffee Atelier (Café De Especialidad Madrid),5,,2023-08-29T15:59:00.347396Z
Musette,5,"Exactly what I expect of a specialty coffee, they have good food options too",2023-04-05T21:35:11.433437Z
Son of Cebich,4,"Great ceviche on the go! A little bit small and a little bit expensive for the portion they serve, but overall it was good",2023-03-04T15:56:27.106091Z
Hola Coffee Fourquet,4,"Uno de los mejores Flats que tome en madrid y el peor sándwich que comí… mientras que vengan solo a tomar café, excelente",2023-02-12T11:34:04.937336Z
Sushi 8,5,"Excellent take away sushi, fresh, reasonably priced and fast!
Nice gesture with a free sample of dumplings. 👍🏼👍🏼",2023-02-11T22:04:08.569681Z
Lawine Alquiler de esquis y snowboard Sierra Nevada,5,"Excelente Rental.
Jose y Luis te atienden de maravilla!",2023-01-14T16:12:29.612173Z
Tower of Tribute,5,"Increíble! Se puede subir hasta la terraza de la torre, caminos y escaleras en perfecto estado, para subir hay que sacar tickets en la entrada de la villa medieval",2023-01-10T15:43:28.814905Z
taberna jóvenes flamencos,5,"Loved the place and the attention, great food great prices 👌🏼",2023-01-09T16:05:42.299945Z
Las Teresas,2,"Tourist trap, authentic food with excessive prices…",2023-01-07T21:44:51.988261Z
El Pasaje Santa María la Blanca,5,"Excellent food, excellent service, 20 € per person tip and wine included 5/5 ⭐️",2023-01-07T21:43:07.464387Z
CASA CAMÉLIA,5,"Amazing hospitality, beautiful rooms and facilities",2023-01-03T19:37:54.351824Z
Inoue bistró japonés,5,"Experiencia fantástica, el japo y romi son una capos. Un twist espectacular del sushi tradicional. De lo mejor para disfrutar de gastronomía japonesa en Buenos Aires",2022-05-12T20:19:57.408900Z
Citadino,5,"Todo lo que está bien.

Divina esquina, le da siempre el sol, muy bien ambientada, gran café y muy buena comida.

Perfect 10",2022-04-06T13:48:56.224570Z
Siston’s Burgers ( Pinamar),5,Impecable. Gran burga y cerveza de Minga 👌🏼,2022-02-01T05:17:15.419565Z
Bar 'Cino Brookline,5,Great place!,2021-07-10T02:30:59.566013Z
Borrachito Taqueria & Spirits,5,"Great tacos, loved this place!",2021-07-01T15:43:38.468214Z
TORi TORi — Japanese Brochette,5,Lo más!!!! Lugar súper recomendable para comer algo rico y diferente,2020-12-17T20:44:34.306391Z
RVR Café.,1,"No creo que sea un lugar malo, pero tuve una pésima experiencia. Estaba Narda Lepes comiendo y le dieron demasiada bola a ella, se olvidaron del resto. 👍🏻",2020-12-05T22:56:06.554903Z
Rapipago,1,"Espanto de lugar, la cajera prefiere maltratarte y enojarse antes que cobrarte una factura. Una falta de respeto",2020-11-14T16:33:00.096637Z
Daiichi,5,,2020-01-29T10:18:44.210387Z
M,5,"Excelente, pescados re frescos, muy buen sushi y muy buenos tiraditos!",2019-12-18T17:40:34.623257Z
Berlina Vórterix,1,Birra horrible y aguada,2019-11-23T05:02:23.361981Z
Fat Broder,5,"Tremendas hamburguesas, buenísimo lugar re buena onda",2019-10-27T02:32:03.426997Z
Bodega y Estancia Colomé,5,Increíble lugar increíble experiencia,2019-10-13T18:17:59.294741Z
Hosteria Cachi,5,"El comedor del ACA es un 10, pasamos por cachi al mediodía de paso a molinos y fue excelente",2019-10-13T18:16:17.993756Z
Aloha,5,Alto lugar,2019-10-03T18:26:20.047961Z
Banco de la Nación Argentina,5,"Jamás me trataron tan bien en un banco en mi vida, súper amables",2019-09-30T15:50:43.354094Z
Mirutaki Ramen & Sushi,5,,2019-08-29T18:45:44.170631Z
Racqs Deportes,5,"Atención de 10, le mejor calidad en todos los productos que ofrecen y saben mucho 👌🏼",2019-05-27T15:59:05.022979Z
Dandy Recoleta,3,"Muy lindo lugar para comer rápido al sol.
mucho lugar a mejora en los platos, no son malos pero tampoco muy buenos, con poco podrían mejorar mucho",2019-03-28T16:49:39.669907Z
El Portón Gastrobar,5,Espectacular! pasta fresca y buenas porciones. Los de cordero son increíbles!,2019-03-02T00:53:49.377348Z
Bocanada,5,"Muy lindo el lugar, buena onda los chicos y sushi muy fresco!",2019-02-20T14:50:08.300723Z
Domino's Pizza,1,,2019-02-01T12:51:28.809623Z
Bilice Kebap,5,"Increible, uno de los mejores lugares para comer en Estambul sin dudas. 10 U$D por cabeza platazo para dos",2019-01-28T11:37:25.783891Z
